query,checkpoint,n_candidates,spearman,same_top_match
2020-05-31,manelalab/chrono-bert-v1-20191231,4,1.0,True
2020-10-31,manelalab/chrono-bert-v1-20191231,5,0.9,False
2021-01-31,manelalab/chrono-bert-v1-20201231,5,0.9,True
2021-02-28,manelalab/chrono-bert-v1-20201231,6,0.8857,True
2021-03-31,manelalab/chrono-bert-v1-20201231,6,0.8286,True
2021-06-30,manelalab/chrono-bert-v1-20201231,7,0.9286,True
2021-07-31,manelalab/chrono-bert-v1-20201231,7,0.9286,False
2021-10-31,manelalab/chrono-bert-v1-20201231,8,0.881,False
2022-06-30,manelalab/chrono-bert-v1-20211231,12,0.993,True
2022-10-31,manelalab/chrono-bert-v1-20211231,14,0.0418,False
2022-12-31,manelalab/chrono-bert-v1-20211231,14,0.8022,False
2023-04-30,manelalab/chrono-bert-v1-20221231,14,0.8549,True
2023-10-31,manelalab/chrono-bert-v1-20221231,16,0.8735,False
2024-03-31,manelalab/chrono-bert-v1-20231231,17,0.7402,False
2024-04-30,manelalab/chrono-bert-v1-20231231,18,0.8328,False
2024-05-31,manelalab/chrono-bert-v1-20231231,18,0.6801,False
2024-06-30,manelalab/chrono-bert-v1-20231231,18,0.6656,False
2024-09-30,manelalab/chrono-bert-v1-20231231,18,0.8369,False
2025-01-31,manelalab/chrono-bert-v1-20241231,19,0.914,False
2025-07-31,manelalab/chrono-bert-v1-20241231,23,0.7016,False
2025-12-31,manelalab/chrono-bert-v1-20241231,24,0.6739,False
2026-04-30,manelalab/chrono-bert-v1-20241231,25,0.7546,False
